name,salary
Jason Myers,"$3,862,500  "
Jake Elliott,"$3,861,620  "
Christian Wilkins,"$3,859,775  "
Marshon Lattimore,"$3,839,891  "
Lawrence Guy,"$3,825,000  "
Matt Prater,"$3,800,000  "
Johnny Hekker,"$3,762,943  "
Brandon McManus,"$3,751,333  "
Morgan Burnett,"$3,750,000  "
Eric Kush,"$3,750,000  "
Cameron Fleming,"$3,750,000  "
Vita Vea,"$3,706,060  "
Chris Lindstrom,"$3,665,767  "
Patrick Ricard,"$3,651,084  "
Jon Feliciano,"$3,625,000  "
Da'Ron Payne,"$3,604,590  "
Dwayne Haskins,"$3,604,153  "
Ryan Griffin,"$3,600,000  "
Latavius Murray,"$3,600,000  "
Ed Dickson,"$3,566,667  "
Jalen Richard,"$3,500,000  "
B.W. Webb,"$3,500,000  "
Maxx Williams,"$3,500,000  "
Allen Hurns,"$3,500,000  "
Deshaun Watson,"$3,463,570  "
Marcus Davenport,"$3,435,474  "
Romeo Okwara,"$3,400,000  "
Brian Burns,"$3,385,046  "
Haason Reddick,"$3,369,492  "
Kolton Miller,"$3,367,831  "
Terrance Mitchell,"$3,333,333  "
Dexter Lawrence,"$3,312,010  "
Geoff Swaim,"$3,300,000  "
Sam Koch,"$3,250,000  "
Rex Burkhead,"$3,250,000  "
Jordan Poyer,"$3,250,000  "
Antoine Bethea,"$3,250,000  "
Garrett Bradbury,"$3,220,718  "
Derek Barnett,"$3,212,693  "
Sheldon Rankins,"$3,200,412  "
Jeffery Simmons,"$3,165,939  "
Tremaine Edmunds,"$3,164,886  "
Brett Kern,"$3,162,500  "
Malik Hooker,"$3,149,977  "
Noah Fant,"$3,147,680  "
Darnell Savage,"$3,129,422  "
Laremy Tunsil,"$3,114,413  "
Derwin James,"$3,097,239  "
Andre Dillard,"$3,092,646  "
Tytus Howard,"$3,056,388  "
Jaire Alexander,"$3,012,672  "
Greg Mancz,"$3,000,000  "
Steve McLendon,"$3,000,000  "
D.J. Fluker,"$3,000,000  "
David Andrews,"$3,000,000  "
Lee Smith,"$3,000,000  "
Mike Davis,"$3,000,000  "
Josh Jacobs,"$2,983,350  "
Leighton Vander Esch,"$2,961,945  "
Marlon Humphrey,"$2,961,870  "
K'Waun Williams,"$2,950,000  "
Josh Hill,"$2,950,000  "
Marquise Brown,"$2,946,835  "
Frank Ragnow,"$2,945,035  "
Billy Price,"$2,928,123  "
Montez Sweat,"$2,910,315  "
Raheem Mostert,"$2,900,000  "
Rigoberto Sanchez,"$2,900,000  "
Riley Dixon,"$2,900,000  "
Jonathan Allen,"$2,899,094  "
Rashaan Evans,"$2,894,298  "
Brennan Scarlett,"$2,891,143  "
Tyson Alualu,"$2,875,000  "
Damien Wilson,"$2,875,000  "
Johnathan Abram,"$2,873,799  "
Christian Jones,"$2,870,000  "
Virgil Green,"$2,866,667  "
Isaiah Wynn,"$2,860,476  "
Jerry Tillery,"$2,855,540  "
Adoree' Jackson,"$2,820,696  "
D.J. Moore,"$2,792,829  "
O.J. Howard,"$2,773,655  "
Hayden Hurst,"$2,759,007  "
Garett Bolles,"$2,757,976  "
Luke Stocker,"$2,750,000  "
Bryan Anger,"$2,750,000  "
Michael Person,"$2,750,000  "
L.J. Fort,"$2,750,000  "
Bradley Pinion,"$2,750,000  "
Jarrad Davis,"$2,742,296  "
Taylor Decker,"$2,741,745  "
Calvin Ridley,"$2,725,178  "
Charles Harris,"$2,710,935  "
L.J. Collier,"$2,709,020  "
Rashaad Penny,"$2,691,360  "
Keanu Neal,"$2,684,411  "
Evan Engram,"$2,679,576  "
Spencer Pulley,"$2,675,000  "
Terrell Edmunds,"$2,674,447  "
Kevin Huber,"$2,650,000  "
Deandre Baker,"$2,631,429  "
Andy Lee,"$2,625,000  "
Gareon Conley,"$2,616,856  "
Ryan Kelly,"$2,612,746  "
Jabrill Peppers,"$2,585,497  "
Kaleb McGary,"$2,566,436  "
Takkarist McKinley,"$2,554,133  "
Damien Williams,"$2,550,000  "
Will Fuller,"$2,541,078  "
Taven Bryan,"$2,538,740  "
N'Keal Harry,"$2,524,587  "
Tre'Davious White,"$2,522,778  "
Adrian Peterson,"$2,515,000  "
Taco Charlton,"$2,507,097  "
Michael Palardy,"$2,506,667  "
Erik Harris,"$2,500,000  "
Jonotthan Harrison,"$2,500,000  "
Josh Bellamy,"$2,500,000  "
Dustin Colquitt,"$2,500,000  "
Dustin Hopkins,"$2,483,333  "
Mike Hughes,"$2,466,871  "
William Jackson,"$2,426,411  "
Jarrod Wilson,"$2,416,667  "
Sony Michel,"$2,406,674  "
David Njoku,"$2,381,274  "
