name,salary
Anthony Fasano,"$2,750,000  "
J.J. Wilcox,"$2,750,000  "
Andrew Norwell,"$2,746,000  "
Marcus Williams,"$2,746,000  "
Dontrelle Inman,"$2,746,000  "
Isaiah Crowell,"$2,746,000  "
Trey Burton,"$2,746,000  "
Wesley Johnson,"$2,746,000  "
Todd Davis,"$2,746,000  "
Taylor Gabriel,"$2,746,000  "
Jarrad Davis,"$2,742,296  "
Taylor Decker,"$2,741,745  "
Patrick Chung,"$2,733,333  "
DeVante Parker,"$2,719,136  "
Charles Harris,"$2,710,935  "
Keanu Neal,"$2,684,411  "
Evan Engram,"$2,679,576  "
Stefen Wisniewski,"$2,675,000  "
Melvin Gordon,"$2,667,443  "
Jonathan Casillas,"$2,666,667  "
Cornellius Carradine,"$2,650,000  "
Matt Cassel,"$2,625,000  "
Gareon Conley,"$2,616,856  "
Ryan Kelly,"$2,612,746  "
"Odell Beckham, Jr.","$2,601,550  "
Kamar Aiken,"$2,600,000  "
Navorro Bowman,"$2,600,000  "
Jabrill Peppers,"$2,585,497  "
Shaq Lawson,"$2,569,744  "
Darron Lee,"$2,555,412  "
Takkarist McKinley,"$2,554,133  "
Garrett Celek,"$2,550,000  "
Will Fuller,"$2,541,078  "
Aaron Donald,"$2,534,125  "
Matt Bosher,"$2,531,000  "
Tre'Davious White,"$2,522,778  "
Sheldon Richardson,"$2,513,500  "
Josh Doctson,"$2,512,411  "
Kevin Johnson,"$2,512,353  "
Taco Charlton,"$2,507,097  "
Manti Te'o,"$2,500,000  "
Josh Robinson,"$2,500,000  "
Christopher Conte,"$2,500,000  "
Chance Warmack,"$2,500,000  "
Ryan Hewitt,"$2,500,000  "
Donald Stephenson,"$2,500,000  "
Ryan Groy,"$2,500,000  "
Jamaal Charles,"$2,500,000  "
David Harris,"$2,500,000  "
Jon Ryan,"$2,500,000  "
Arthur Moats,"$2,500,000  "
William Gay,"$2,500,000  "
Karl Klug,"$2,500,000  "
Laquon Treadwell,"$2,483,745  "
Arik Armstead,"$2,460,658  "
William Jackson,"$2,426,411  "
Kyle Fuller,"$2,421,751  "
Star Lotulelei,"$2,401,125  "
Ryan Succop,"$2,400,000  "
Artie Burns,"$2,397,745  "
Marcus Peters,"$2,396,039  "
David Njoku,"$2,381,274  "
Ryan Shazier,"$2,376,803  "
Brynden Trawick,"$2,375,000  "
Paxton Lynch,"$2,369,074  "
Josh Hill,"$2,366,667  "
Cameron Erving,"$2,357,266  "
Kenny Vaccaro,"$2,356,178  "
Derek Anderson,"$2,350,000  "
Nelson Agholor,"$2,344,344  "
Kenny Clark,"$2,340,412  "
Tom Johnson,"$2,333,333  "
Anthony Sherman,"$2,333,333  "
Cedric Ogbuehi,"$2,331,419  "
Joshua Garnett,"$2,326,078  "
T.J. Watt,"$2,314,642  "
Bud Dupree,"$2,305,571  "
Zach Brown,"$2,300,000  "
Shane Ray,"$2,279,724  "
Reuben Foster,"$2,258,827  "
Jahri Evans,"$2,250,000  "
Chris Long,"$2,250,000  "
Greg Zuerlein,"$2,250,000  "
Johnson Bademosi,"$2,250,000  "
Lee Smith,"$2,250,000  "
Zack Martin,"$2,241,950  "
D.J. Humphries,"$2,228,028  "
Demario Davis,"$2,225,000  "
Ryan Ramczyk,"$2,222,889  "
Shaq Thompson,"$2,202,181  "
Garry Gilliam,"$2,200,000  "
Brice McCain,"$2,200,000  "
Landry Jones,"$2,200,000  "
Brad Nortman,"$2,200,000  "
C.J. Mosley,"$2,197,001  "
Breshad Perriman,"$2,176,329  "
Chris Jones,"$2,175,000  "
Joe Berger,"$2,165,000  "
Byron Jones,"$2,150,485  "
Robert Nkemdiche,"$2,150,150  "
