
      NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Cole Beasley",84,"DAL","15","63","36","4.2","314",0,"140.6","4","54",0,0
"Tyrell Williams",81,"LAC","16","69","43","4.3","728","2","268.9","4","75","1","1"
"Sammy Watkins",81,"LAR","15","70","39","4.7","593","1","243","8","67",0,0
"Dontrelle Inman",73,"CHI","12","44","25","3.7","343",0,"97.8","1","26",0,0
"Terrance Williams",81,"DAL","16","77","53","4.8","568","1","150.1",0,"56",0,0
"Adam Humphries",77,"TB","16","83","61","5.2","631","1","157.7","1","43","1","1"
"JJ Nelson",72,"ARI","16","61","29","3.8","504","1","239.4","2","46","1","1"
"Willie Snead",79,"NO","11","16","8","1.5","92",0,"76.5",0,"26","1","1"
"Paul Richardson",79,"SEA","16","80","44","5","703","1","253.6","6","61",0,0
"Mike Williams",83,"LAC","10","23","11","2.3","95",0,"52.6",0,"20",0,0
"Danny Amendola",79,"NE","15","87","61","5.8","659","1","168.8","2","27","2",0
"John Brown",77,"ARI","10","55","21","5.5","299",0,"149.2","3","52",0,0
"Jeremy Maclin",84,"BAL","12","72","40","6","440",0,"143.6","3","48",0,0
"Kenny Golladay",84,"DET","11","48","28","4.4","477",0,"208.1","3","54",0,0
